,Unnamed: 0,LURN_SAK,INCIDENT_DATE,CATEGORY,STAT,ADDRESS,LONGITUDE,LATITUDE,PART_CATEGORY,timestamp,hour,month,weekday
13548,2939,19898764,04/30/2022 01:50:00 AM,LARCENY THEFT,81,"SANTA MONICA BLVD AND ROBERTSON BLVD, WEST HOLLYWOOD, CA 90069",-118.385,34.084,1,2022-04-30 01:50:00,1,4,5
13549,2940,19897570,04/28/2022 05:48:00 PM,LARCENY THEFT,383,"7100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA 90069",-118.344,34.09,1,2022-04-28 17:48:00,17,4,3
13550,3035,19893617,04/24/2022 10:01:00 AM,AGGRAVATED ASSAULT,52,"1100 N LA BREA AVE, WEST HOLLYWOOD, CA 90069",-118.344,34.091,1,2022-04-24 10:01:00,10,4,6
13551,3049,19992892,08/11/2022 02:37:30 AM,LARCENY THEFT,340,"900 STANLEY AVE, WEST HOLLYWOOD, CA 90046",-118.356,34.088,1,2022-08-11 02:37:30,2,8,3
13552,3050,19806467,01/15/2022 12:15:00 AM,LARCENY THEFT,387,"600 N ROBERTSON AVE, WEST HOLLYWOOD, CA 90069",-118.385,34.083,1,2022-01-15 00:15:00,0,1,5
13553,3056,19804089,01/13/2022 04:30:00 PM,BURGLARY,77,"1100 FORMOSA AVE, WEST HOLLYWOOD, CA 90046",-118.346,34.092,1,2022-01-13 16:30:00,16,1,3
13554,3057,19861426,03/17/2022 07:19:00 AM,VANDALISM,261,"SANTA MONICA BLVD AND SIERRA BONITA AVE, WEST HOLLYWOOD, CA",-118.354,34.09,2,2022-03-17 07:19:00,7,3,3
13555,3079,20026500,09/15/2022 04:24:00 AM,VANDALISM,261,"7100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA 90046",-118.345,34.09,2,2022-09-15 04:24:00,4,9,3
13556,3139,20003441,08/22/2022 07:45:00 PM,ROBBERY,32,"7100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.344,34.09,1,2022-08-22 19:45:00,19,8,0
13557,3162,19804890,01/14/2022 05:30:00 PM,NON-AGGRAVATED ASSAULTS,144,"1000 N VISTA ST, WEST HOLLYWOOD, CA 90069",-118.351,34.09,2,2022-01-14 17:30:00,17,1,4
13558,3163,19812207,01/20/2022 01:00:00 AM,DRUNK / ALCOHOL / DRUGS,201,"8900 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.386,34.083,2,2022-01-20 01:00:00,1,1,3
13559,3172,19800580,01/09/2022 12:45:00 AM,LARCENY THEFT,389,"600 ROBERTSON BLVD, WEST HOLLYWOOD, CA 90069",-118.385,34.083,1,2022-01-09 00:45:00,0,1,6
13560,3197,19885999,04/14/2022 11:30:00 AM,NON-AGGRAVATED ASSAULTS,145,"7800 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.36,34.09,2,2022-04-14 11:30:00,11,4,3
13561,3199,19978288,07/27/2022 02:12:45 PM,MISDEMEANORS MISCELLANEOUS,399,"8400 MELROSE AVE, WEST HOLLYWOOD, CA 90069",-118.374,34.082,2,2022-07-27 14:12:45,14,7,2
13562,3205,19858656,03/14/2022 03:00:00 AM,VANDALISM,263,"100 LA PEER DR, WEST HOLLYWOOD, CA 90048",-118.387,34.076,2,2022-03-14 03:00:00,3,3,0
13563,3206,19842340,02/23/2022 09:00:00 PM,LARCENY THEFT,383,"7900 SANTA MONICA BLVD, WEST HOLLYWOOD, CA 90046",-118.363,34.09,1,2022-02-23 21:00:00,21,2,2
13564,3209,19842077,02/22/2022 09:00:00 PM,AGGRAVATED ASSAULT,53,"CLINTON AVE AND KINGS RD, WEST HOLLYWOOD, CA 90048",-118.372,34.082,1,2022-02-22 21:00:00,21,2,1
13565,3210,19854604,03/09/2022 10:21:00 AM,VANDALISM,263,"600 KINGS RD, WEST HOLLYWOOD, CA 90069",-118.372,34.082,2,2022-03-09 10:21:00,10,3,2
13566,3217,19954727,07/01/2022 12:27:00 AM,NARCOTICS,188,"7100 SUNSET BLVD, LOS ANGELES, CA 90046",-118.344,34.098,2,2022-07-01 00:27:00,0,7,4
13567,3219,19991994,08/10/2022 03:50:00 PM,NARCOTICS,183,"8400 MELROSE AVE, WEST HOLLYWOOD, CA",-118.375,34.082,2,2022-08-10 15:50:00,15,8,2
13568,3220,19994955,08/13/2022 09:53:00 PM,DRUNK / ALCOHOL / DRUGS,201,"8400 SUNSET BLVD, WEST HOLLYWOOD, CA 90069",-118.374,34.095,2,2022-08-13 21:53:00,21,8,5
13569,3251,19983843,08/02/2022 12:02:30 PM,LARCENY THEFT,86,"1200 HAYWORTH AVE, WEST HOLLYWOOD, CA 90046",-118.362,34.093,1,2022-08-02 12:02:30,12,8,1
13570,3253,19980856,07/30/2022 01:30:00 AM,LARCENY THEFT,81,"SANTA MONICA BLVD AND SAN VICENTE BLVD, WEST HOLLYWOOD, CA",-118.384,34.085,1,2022-07-30 01:30:00,1,7,5
13571,3335,20044195,10/04/2022 04:06:30 PM,DISORDERLY CONDUCT,217,"100 N ALMONT DR, WEST HOLLYWOOD, CA 90048",-118.388,34.076,2,2022-10-04 16:06:30,16,10,1
13572,3456,19865174,03/18/2022 07:30:00 PM,LARCENY THEFT,340,"600 WEST BOURNE DR, WEST HOLLYWOOD, CA 90069",-118.379,34.083,1,2022-03-18 19:30:00,19,3,4
13573,3475,19827552,02/05/2022 02:07:30 AM,LARCENY THEFT,81,"8800 SANTA MONICA BLVD, WEST HOLLYWOOD, CA 90038",-118.383,34.085,1,2022-02-05 02:07:30,2,2,5
13574,3496,19867536,03/05/2022 11:30:00 AM,SEX OFFENSES MISDEMEANORS,139,"8500 SUNSET BLVD, WEST HOLLYWOOD, CA 90069",-118.379,34.092,2,2022-03-05 11:30:00,11,3,5
