,LURN_SAK,INCIDENT_DATE,CATEGORY,STAT,ADDRESS,LONGITUDE,LATITUDE,PART_CATEGORY
103204,19290195,06/15/2020 11:45:00 PM,BURGLARY,78,"1100 HARPER AVE, WEST HOLLYWOOD, CA",-118.368,34.091,1
103219,19276743,05/30/2020 10:29:00 AM,LARCENY THEFT,84,"8900 ROSEWOOD AVE, WEST HOLLYWOOD, CA  90069",-118.387,34.078,1
103385,19342478,08/17/2020 01:10:00 PM,DRUNK / ALCOHOL / DRUGS,201,"LA CIENEGA BLVD AND HOLLOWAY DR, WEST HOLLYWOOD, CA",-118.376,34.09,2
103425,19245060,04/20/2020 05:40:00 PM,DRUNK / ALCOHOL / DRUGS,201,"1000 LA BREA AVE, WEST HOLLYWOOD, CA  90038",-118.343,34.089,2
103440,19194369,02/17/2020 12:15:00 AM,AGGRAVATED ASSAULT,52,"8700 MELROSE AVE, WEST HOLLYWOOD, CA  90069",-118.384,34.08,1
103630,19348744,08/05/2020 06:30:00 PM,AGGRAVATED ASSAULT,53,"8600 HOLLOWAY DR, WEST HOLLYWOOD, CA  90069",-118.379,34.09,1
103678,19235906,04/06/2020 09:00:00 PM,WEAPON LAWS,152,"7100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.344,34.09,2
103900,19367216,09/15/2020 04:22:00 AM,GRAND THEFT AUTO,91,"8400 SUNSET BLVD, WEST HOLLYWOOD, CA  90069",-118.374,34.094,1
103986,19179997,02/01/2020 11:30:00 PM,NON-AGGRAVATED ASSAULTS,146,"MELROSE AVE AND LA PEER DR, WEST HOLLYWOOD, CA  90069",-118.386,34.08,2
104024,19376097,09/28/2020 01:50:00 AM,MISDEMEANORS MISCELLANEOUS,391,"8700 SHOREHAM DR, WEST HOLLYWOOD, CA",-118.381,34.092,2
104206,19222267,03/15/2020 08:00:00 PM,NON-AGGRAVATED ASSAULTS,144,"900 ORANGE GROVE AVE, WEST HOLLYWOOD, CA  90046",-118.36,34.087,2
104232,19239646,04/12/2020 02:07:30 PM,VANDALISM,263,"8600 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.379,34.087,2
104234,19239452,04/11/2020 11:30:00 AM,LARCENY THEFT,386,"1400 N FAIRFAX AVE, WEST HOLLYWOOD, CA  90046",-118.361,34.096,1
104335,19453949,12/14/2020 12:21:00 PM,DRUNK / ALCOHOL / DRUGS,201,"8700 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.38,34.086,2
104351,19442928,12/02/2020 07:10:00 PM,MISDEMEANORS MISCELLANEOUS,399,"7100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90046",-118.344,34.09,2
104726,19274443,02/20/2018 12:00:00 PM,SEX OFFENSES MISDEMEANORS,139,"8400 SUNSET BLVD, WEST HOLLYWOOD, CA  90069",-118.374,34.094,2
104727,19285660,05/30/2020 05:27:00 PM,BURGLARY,71,"8500 MELROSE AVE, WEST HOLLYWOOD, CA  90069",-118.376,34.081,1
104735,19294571,06/12/2020 08:31:00 PM,VANDALISM,261,"7400 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.352,34.09,2
104757,19452922,12/12/2020 06:43:00 PM,ROBBERY,31,"500 FLORES ST, WEST HOLLYWOOD, CA",-118.37,34.08,1
104941,19334306,08/07/2020 02:00:00 AM,NON-AGGRAVATED ASSAULTS,146,"8200 NORTON AVE, WEST HOLLYWOOD, CA  90046",-118.368,34.091,2
105066,19188527,02/09/2020 11:45:00 PM,LARCENY THEFT,84,"1200 N HARPER AVE, WEST HOLLYWOOD, CA",-118.368,34.093,1
105067,19188570,02/10/2020 03:45:00 AM,LARCENY THEFT,340,"1200 HARPER AVE, WEST HOLLYWOOD, CA  90046",-118.368,34.093,1
105326,19284742,05/30/2020 10:00:00 PM,LARCENY THEFT,87,"600 HUNTLEY DR, WEST HOLLYWOOD, CA",-118.38,34.082,1
105452,19239529,04/12/2020 07:23:00 PM,VANDALISM,263,"8100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90046",-118.366,34.091,2
105463,19222281,03/17/2020 01:45:00 PM,NARCOTICS,185,"KEITH AVE AND HILLDALE AVE, WEST HOLLYWOOD, CA",-118.385,34.085,2
105470,19221239,03/16/2020 10:20:00 AM,NON-AGGRAVATED ASSAULTS,145,"8900 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.386,34.083,2
105552,19288894,06/14/2020 06:15:00 PM,LARCENY THEFT,340,"FORMOSA AVE AND SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.346,34.09,1
105570,19287947,06/07/2020 07:30:00 PM,VANDALISM,263,"1200 LA BREA AVE, WEST HOLLYWOOD, CA",-118.343,34.093,2
105571,19291466,06/17/2020 09:16:00 AM,LARCENY THEFT,383,"7100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.344,34.09,1
105651,19447701,12/04/2020 06:00:00 PM,LARCENY THEFT,84,"1100 ORANGE GROVE DR, WEST HOLLYWOOD, CA  90046",-118.359,34.091,1
105738,19322296,07/23/2020 07:55:00 PM,LARCENY THEFT,383,"1000 N FULLER AVE, WEST HOLLYWOOD, CA  90046",-118.349,34.089,1
105742,19323305,07/25/2020 12:04:00 AM,VANDALISM,263,"8600 MELROSE AVE, WEST HOLLYWOOD, CA  90069",-118.38,34.081,2
105752,19246523,04/22/2020 11:30:00 AM,NON-AGGRAVATED ASSAULTS,144,"7900 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90046",-118.363,34.09,2
105877,19192047,02/14/2020 02:29:00 AM,WEAPON LAWS,151,"800 SAN VICNETE BLVD, WEST HOLLYWOOD, CA  90069",-118.384,34.086,2
105971,19153761,01/05/2020 03:30:00 AM,DRUNK / ALCOHOL / DRUGS,201,"8600 MELROSE AVE, WEST HOLLYWOOD, CA  90069",-118.382,34.083,2
106195,19289174,06/15/2020 09:27:00 AM,NARCOTICS,185,"800 HILLDALE AVE, WEST HOLLYWOOD, CA",-118.384,34.084,2
106394,19271821,03/02/2019 12:30:00 PM,NON-AGGRAVATED ASSAULTS,146,"7300 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.349,34.09,2
106459,19225220,03/21/2020 08:05:00 AM,NARCOTICS,181,"1000 HANCOCK AVE, WEST HOLLYWOOD, CA",-118.382,34.089,2
106460,19291377,06/17/2020 12:53:00 PM,NARCOTICS,181,"FAIRFAX AVE AND SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.361,34.09,2
106554,19229577,03/27/2020 04:00:00 PM,VANDALISM,263,"HANCOCK AVE AND SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.381,34.086,2
106557,19215298,03/09/2020 04:00:00 PM,NON-AGGRAVATED ASSAULTS,146,"CRESCENT HEIGHTS BLVD AND SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.365,34.09,2
106650,19451556,12/10/2020 03:10:00 PM,VANDALISM,261,"7700 WILLOUGHBY AVE, WEST HOLLYWOOD, CA  90046",-118.357,34.087,2
106660,19455408,12/15/2020 11:30:00 PM,VANDALISM,263,"8300 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.37,34.09,2
